timestamp_ns,event_index,side,price,quantity,level
34200004241176,1,ASK,5859400,200,1
34200004241176,1,BID,5853300,18,1
34200004241176,1,ASK,5859800,200,2
34200004241176,1,BID,5853000,150,2
34200004241176,1,ASK,5861000,200,3
34200004241176,1,BID,5851000,5,3
34200004241176,1,ASK,5868900,300,4
34200004241176,1,BID,5850100,89,4
34200004241176,1,ASK,5869500,50,5
34200004241176,1,BID,5849700,5,5
34200004241176,1,ASK,5870000,100,6
34200004241176,1,BID,5849300,300,6
34200004241176,1,ASK,5871000,10,7
34200004241176,1,BID,5846500,300,7
34200004241176,1,ASK,5873900,100,8
34200004241176,1,BID,5845300,300,8
34200004241176,1,ASK,5876500,1160,9
34200004241176,1,BID,5843800,200,9
34200004241176,1,ASK,5879000,500,10
34200004241176,1,BID,5842700,300,10
34200888641822,100,ASK,5858700,100,1
34200888641822,100,BID,5857100,18,1
34200888641822,100,ASK,5859300,59,2
34200888641822,100,BID,5857000,44,2
34200888641822,100,ASK,5859400,300,3
34200888641822,100,BID,5856900,20,3
34200888641822,100,ASK,5859800,400,4
34200888641822,100,BID,5856500,5,4
34200888641822,100,ASK,5859900,100,5
34200888641822,100,BID,5856400,20,5
34200888641822,100,ASK,5861000,200,6
34200888641822,100,BID,5856000,3,6
34200888641822,100,ASK,5863300,5,7
34200888641822,100,BID,5854400,167,7
34200888641822,100,ASK,5868900,200,8
34200888641822,100,BID,5853000,150,8
34200888641822,100,ASK,5869500,50,9
34200888641822,100,BID,5852500,100,9
34200888641822,100,ASK,5870000,700,10
34200888641822,100,BID,5851000,5,10
34201840808542,200,ASK,5857700,18,1
34201840808542,200,BID,5854700,18,1
34201840808542,200,ASK,5857800,18,2
34201840808542,200,BID,5854600,5,2
34201840808542,200,ASK,5858000,100,3
34201840808542,200,BID,5854400,167,3
34201840808542,200,ASK,5858700,100,4
34201840808542,200,BID,5854200,100,4
34201840808542,200,ASK,5858900,300,5
34201840808542,200,BID,5854000,50,5
34201840808542,200,ASK,5859300,59,6
34201840808542,200,BID,5853800,22,6
34201840808542,200,ASK,5859400,200,7
34201840808542,200,BID,5853600,5,7
34201840808542,200,ASK,5859800,205,8
34201840808542,200,BID,5852500,100,8
34201840808542,200,ASK,5859900,15,9
34201840808542,200,BID,5851000,5,9
34201840808542,200,ASK,5860000,960,10
34201840808542,200,BID,5850100,89,10
34203954770435,300,ASK,5857100,100,1
34203954770435,300,BID,5854500,18,1
34203954770435,300,ASK,5858000,100,2
34203954770435,300,BID,5854400,167,2
34203954770435,300,ASK,5858100,100,3
34203954770435,300,BID,5854000,50,3
34203954770435,300,ASK,5858700,100,4
34203954770435,300,BID,5853800,22,4
34203954770435,300,ASK,5858900,100,5
34203954770435,300,BID,5853700,100,5
34203954770435,300,ASK,5859300,59,6
34203954770435,300,BID,5853600,5,6
34203954770435,300,ASK,5859400,200,7
34203954770435,300,BID,5853000,230,7
34203954770435,300,ASK,5859800,205,8
34203954770435,300,BID,5852500,100,8
34203954770435,300,ASK,5859900,15,9
34203954770435,300,BID,5851700,10,9
34203954770435,300,ASK,5860000,960,10
34203954770435,300,BID,5851000,5,10
34209829435704,400,ASK,5856600,171,1
34209829435704,400,BID,5854400,66,1
34209829435704,400,ASK,5856700,18,2
34209829435704,400,BID,5854000,50,2
34209829435704,400,ASK,5856800,803,3
34209829435704,400,BID,5853800,22,3
34209829435704,400,ASK,5858000,200,4
34209829435704,400,BID,5853600,5,4
34209829435704,400,ASK,5858100,100,5
34209829435704,400,BID,5853000,230,5
34209829435704,400,ASK,5858700,100,6
34209829435704,400,BID,5851700,10,6
34209829435704,400,ASK,5858900,100,7
34209829435704,400,BID,5851000,5,7
34209829435704,400,ASK,5859300,59,8
34209829435704,400,BID,5850500,1,8
34209829435704,400,ASK,5859400,200,9
34209829435704,400,BID,5850400,2,9
34209829435704,400,ASK,5859800,205,10
34209829435704,400,BID,5850100,89,10
34215204460371,500,ASK,5854200,320,1
34215204460371,500,BID,5853600,100,1
34215204460371,500,ASK,5855400,100,2
34215204460371,500,BID,5853000,230,2
34215204460371,500,ASK,5855800,100,3
34215204460371,500,BID,5851700,10,3
34215204460371,500,ASK,5856800,2,4
34215204460371,500,BID,5851000,5,4
34215204460371,500,ASK,5858000,200,5
34215204460371,500,BID,5850500,1,5
34215204460371,500,ASK,5858100,100,6
34215204460371,500,BID,5850400,2,6
34215204460371,500,ASK,5859300,59,7
34215204460371,500,BID,5850100,89,7
34215204460371,500,ASK,5859400,200,8
34215204460371,500,BID,5850000,4997,8
34215204460371,500,ASK,5859800,205,9
34215204460371,500,BID,5849900,2,9
34215204460371,500,ASK,5859900,15,10
34215204460371,500,BID,5849700,5,10
34227437330595,600,ASK,5856500,18,1
34227437330595,600,BID,5854700,100,1
34227437330595,600,ASK,5856600,18,2
34227437330595,600,BID,5853700,100,2
34227437330595,600,ASK,5856700,18,3
34227437330595,600,BID,5853600,225,3
34227437330595,600,ASK,5856800,20,4
34227437330595,600,BID,5853000,230,4
34227437330595,600,ASK,5858000,200,5
34227437330595,600,BID,5851000,5,5
34227437330595,600,ASK,5858100,100,6
34227437330595,600,BID,5850500,1,6
34227437330595,600,ASK,5859300,59,7
34227437330595,600,BID,5850400,2,7
34227437330595,600,ASK,5859800,5,8
34227437330595,600,BID,5850100,89,8
34227437330595,600,ASK,5859900,115,9
34227437330595,600,BID,5850000,4997,9
34227437330595,600,ASK,5860000,960,10
34227437330595,600,BID,5849900,102,10
34233465445276,700,ASK,5858000,218,1
34233465445276,700,BID,5855000,70,1
34233465445276,700,ASK,5858100,300,2
34233465445276,700,BID,5854700,100,2
34233465445276,700,ASK,5859300,59,3
34233465445276,700,BID,5854200,100,3
34233465445276,700,ASK,5859800,5,4
34233465445276,700,BID,5853700,100,4
34233465445276,700,ASK,5859900,115,5
34233465445276,700,BID,5853600,125,5
34233465445276,700,ASK,5860000,960,6
34233465445276,700,BID,5853000,230,6
34233465445276,700,ASK,5861000,200,7
34233465445276,700,BID,5851000,5,7
34233465445276,700,ASK,5865000,58,8
34233465445276,700,BID,5850500,1,8
34233465445276,700,ASK,5865700,4,9
34233465445276,700,BID,5850400,2,9
34233465445276,700,ASK,5866000,80,10
34233465445276,700,BID,5850100,89,10
34237295489481,800,ASK,5857300,100,1
34237295489481,800,BID,5855400,18,1
34237295489481,800,ASK,5857400,100,2
34237295489481,800,BID,5855200,18,2
34237295489481,800,ASK,5858000,200,3
34237295489481,800,BID,5855100,212,3
34237295489481,800,ASK,5858100,300,4
34237295489481,800,BID,5855000,70,4
34237295489481,800,ASK,5859300,59,5
34237295489481,800,BID,5854700,100,5
34237295489481,800,ASK,5859800,5,6
34237295489481,800,BID,5853700,100,6
